100
86	6	254
85	2	697
48	3	722
20	3	10
32	3	115
4	4	490
90	1	483
18	7	118
7	3	632
16	2	439
68	9	140
92	1	840
90	8	83
36	4	984
75	9	440
89	9	132
64	8	121
100	1	16
76	5	518
52	10	933
38	3	669
3	9	581
6	3	166
20	3	510
61	9	819
38	1	279
4	2	954
60	6	860
7	2	833
28	2	376
47	7	633
19	1	162
30	9	89
8	8	258
45	2	784
57	4	290
70	3	135
40	2	506
26	7	603
59	10	779
52	1	876
18	1	146
58	1	447
100	1	140
59	1	792
88	8	887
54	6	316
20	1	489
83	10	258
30	5	939
23	2	605
81	3	690
78	9	892
39	1	865
41	7	29
66	4	602
61	10	910
35	3	289
24	8	195
25	7	646
28	8	316
82	10	552
70	4	785
61	3	705
36	1	705
45	7	13
48	4	838
48	3	64
10	9	821
65	4	255
95	10	410
76	5	604
16	2	641
6	10	673
45	9	895
39	4	593
72	9	231
69	1	162
65	7	459
57	1	827
91	3	394
48	7	881
23	3	45
51	7	944
37	9	127
53	3	239
52	2	48
34	2	64
29	3	629
4	9	478
85	6	725
52	7	317
69	10	101
34	10	845
18	3	861
19	1	104
2	4	469
86	7	418
51	3	470
6	9	977
