200
55	5	304
41	10	480
6	8	245
65	8	471
15	7	825
88	2	860
35	10	966
27	8	178
1	2	784
36	1	226
14	8	925
71	10	930
22	4	234
34	3	346
98	6	113
76	4	505
37	5	426
91	9	848
76	3	116
54	5	982
49	2	932
45	7	677
39	5	309
13	9	516
56	10	707
99	5	295
40	2	357
39	1	179
6	8	10
73	2	947
74	8	384
41	3	573
29	5	820
83	5	578
88	9	73
91	1	621
70	6	652
34	8	194
32	2	248
49	7	957
100	4	168
21	10	73
3	8	102
3	6	404
60	9	94
22	1	183
43	9	639
16	2	540
60	4	818
74	8	613
71	4	2
68	6	701
64	1	945
95	7	21
65	5	254
72	1	420
39	7	477
83	5	438
34	1	172
25	1	96
49	2	289
7	5	778
74	2	233
67	5	988
37	5	496
7	6	283
62	2	475
32	4	445
84	5	180
96	3	224
14	7	791
41	1	756
4	3	330
84	8	470
52	5	633
65	7	965
72	7	657
60	2	962
33	6	7
76	2	451
20	8	703
42	9	352
86	1	58
79	7	885
24	8	841
8	6	850
13	6	877
86	6	819
66	5	280
20	3	578
34	4	731
8	2	97
80	10	415
39	2	633
13	4	492
97	4	608
15	6	112
23	5	985
58	2	411
11	1	359
31	7	1355
81	2	590
64	2	942
35	4	767
11	4	1343
90	3	599
29	7	24
97	6	631
42	8	525
23	6	1027
5	1	1157
12	3	422
52	6	707
42	2	137
9	3	388
70	1	314
20	3	509
43	8	1041
58	1	878
87	6	653
1	4	719
32	3	498
1	9	766
57	6	1491
91	7	1410
50	9	1217
20	5	21
74	10	1269
19	10	129
16	8	908
31	4	423
42	1	1104
5	3	1421
65	7	405
48	10	1189
10	3	233
60	8	995
90	4	879
59	5	462
49	7	1109
66	4	918
38	3	507
74	4	1036
15	10	1318
46	5	1048
72	3	1123
95	6	1354
74	8	989
43	4	146
69	9	1379
82	4	325
3	7	590
1	10	1144
69	8	1201
84	8	119
34	8	1182
63	2	203
13	1	1143
48	6	201
74	3	290
6	2	578
99	4	801
3	7	1044
37	10	339
61	8	854
45	3	644
46	3	394
32	3	1125
34	1	1361
61	7	76
24	2	1315
18	7	1383
39	3	16
43	6	1049
3	4	321
26	8	608
27	10	1447
58	8	677
10	8	598
11	3	1005
90	6	1328
10	5	86
49	2	1462
54	4	714
32	2	848
50	10	519
44	9	594
34	5	634
28	1	304
39	10	1191
24	1	1069
31	2	815
2	5	1374
46	8	1072
93	8	155
8	4	906
88	4	496
76	7	1189
3	5	1344
2	1	419
